datetime,Open,High,Low,Close,Volume
2022-01-03,40517.6,40865.36,39817.48,40256.21,4102887
2022-01-04,41866.92,42289.73,41758.6,42102.18,4489855
2022-01-05,42149.87,42315.41,41819.49,41995.52,4297281
2022-01-06,41808.7,41919.64,41595.28,41766.68,2957213
2022-01-07,41531.56,41760.42,41337.14,41521.98,1610149
2022-01-10,40968.97,41275.43,40719.26,40916.75,4908897
2022-01-11,41516.47,41749.01,41369.84,41624.16,633178
2022-01-12,41614.9,41957.91,40925.99,41423.65,1704177
2022-01-13,42295.9,42926.77,42018.88,42383.66,1675263
2022-01-14,42038.4,42538.84,41181.54,41988.69,3218695
2022-01-17,41500.07,41770.47,40948.59,41242.19,712154
2022-01-18,40470.84,40657.58,40008.16,40423.32,1636069
2022-01-19,40652.12,40938.48,40316.53,40591.43,115185
2022-01-20,41997.25,42730.27,41693.31,42254.06,1999566
2022-01-21,42210.56,42589.0,42084.24,42378.23,4049199
2022-01-24,41277.14,41351.74,40988.4,41177.96,2029027
2022-01-25,39646.3,39887.93,38759.7,39399.56,2895823
2022-01-26,38734.48,39468.28,38484.9,39026.12,2657813
2022-01-27,38131.52,38563.22,37780.45,38251.27,3672929
2022-01-28,37829.47,37924.92,37631.97,37766.12,2836833
2022-01-31,36581.47,36726.29,36365.88,36491.82,1011947
2022-02-01,36099.78,36376.42,35616.73,36108.71,957374
2022-02-02,36805.06,36918.64,36592.38,36748.93,279004
2022-02-03,37108.66,37200.84,36934.17,37102.95,984558
2022-02-04,37294.04,37484.67,36856.41,37147.27,222069
2022-02-07,36234.29,36590.83,36011.85,36327.61,958132
2022-02-08,36219.31,36417.2,35820.0,36210.9,288191
2022-02-09,35298.88,35673.89,35071.4,35439.23,614566
2022-02-10,36245.3,36354.34,35811.78,36054.46,1219551
2022-02-11,35965.97,36120.93,35550.58,35837.79,4510390
2022-02-14,35959.31,36505.57,35720.26,36032.88,2853082
2022-02-15,36437.69,36708.53,36109.44,36359.14,2448053
2022-02-16,36952.87,37295.14,36128.34,36709.26,1917253
2022-02-17,37636.5,37774.78,37444.72,37619.88,1742904
2022-02-18,37872.05,38374.3,37061.06,37721.95,2854164
2022-02-21,37255.89,37466.13,36556.31,37065.83,1114362
2022-02-22,37886.45,37965.57,37615.95,37793.32,3996094
2022-02-23,36917.0,37536.23,36753.71,37128.49,1887308
2022-02-24,37185.11,37391.44,36942.71,37109.31,2141065
2022-02-25,37314.65,37418.03,36931.29,37133.74,4350653
2022-02-28,36618.11,37144.44,36425.68,36680.85,1434995
2022-03-01,36834.83,37388.56,36502.59,36971.53,2233983
2022-03-02,37514.55,37722.75,36821.93,37281.44,2272250
2022-03-03,36624.65,37276.19,36241.4,36619.43,4943422
2022-03-04,36511.05,36774.38,36257.19,36505.9,4667244
2022-03-07,37230.31,37582.03,37017.57,37340.63,3596447
2022-03-08,37220.99,37351.63,36941.61,37178.45,1951844
2022-03-09,37962.64,38155.39,37690.25,37850.33,708175
2022-03-10,36969.01,37191.89,36844.7,37051.56,1769786
2022-03-11,36485.38,36649.92,36103.4,36349.98,3927833
2022-03-14,36714.47,37133.45,35865.46,36473.26,159354
2022-03-15,36967.47,37083.49,36858.77,36994.23,670785
2022-03-16,36965.47,37474.61,36751.55,37019.9,679393
2022-03-17,38136.05,38574.17,37482.91,38075.83,333419
2022-03-18,38598.08,38895.97,38502.26,38699.88,1031388
2022-03-21,39180.44,39244.25,39035.04,39178.89,1668714
2022-03-22,38254.6,38446.94,37972.78,38277.56,3277146
2022-03-23,37735.53,38233.98,37491.44,37744.75,4005169
2022-03-24,37417.21,38098.52,37128.25,37587.14,479298
2022-03-25,38179.54,38407.68,37476.0,37937.11,2085591
2022-03-28,37789.92,37914.44,37575.86,37753.49,1461583
2022-03-29,38455.86,38769.27,38228.82,38430.38,1444374
2022-03-30,38019.81,38596.76,37780.93,38144.15,4502321
2022-03-31,37974.42,38085.52,37694.4,37892.99,2477938
2022-04-01,36927.15,37686.18,36600.45,37026.34,222443
2022-04-04,38228.99,38655.11,37747.49,38050.71,2627508
2022-04-05,37813.51,38072.29,37686.09,37902.86,922973
2022-04-06,37771.51,38208.8,37368.58,37704.46,3520830
2022-04-07,37343.94,37686.87,37041.38,37377.64,1720578
2022-04-08,38528.83,38733.09,38227.43,38561.53,1925882
