datetime,Open,High,Low,Close,Volume
2022-01-03,1575.95,1593.33,1557.33,1573.75,656020
2022-01-04,1586.84,1615.31,1571.39,1589.39,4919690
2022-01-05,1606.13,1616.36,1589.48,1600.7,131761
2022-01-06,1644.59,1656.94,1640.63,1648.3,3105280
2022-01-07,1715.71,1739.85,1700.28,1721.48,4105610
2022-01-10,1740.8,1753.97,1723.1,1740.23,2991439
2022-01-11,1757.61,1767.94,1746.47,1761.17,3591623
2022-01-12,1819.79,1826.74,1815.48,1821.38,3131412
2022-01-13,1784.92,1804.8,1775.43,1788.36,2066780
2022-01-14,1775.27,1784.16,1740.97,1764.35,1757964
2022-01-17,1746.78,1755.63,1741.93,1750.65,2227696
2022-01-18,1735.8,1763.66,1727.98,1747.22,2770303
2022-01-19,1729.92,1753.49,1714.36,1737.61,1715253
2022-01-20,1788.49,1804.45,1753.31,1778.22,4261048
2022-01-21,1751.61,1759.92,1749.19,1754.35,1958577
2022-01-24,1701.0,1718.79,1669.29,1697.82,1024143
2022-01-25,1718.79,1726.33,1706.53,1713.25,3981078
2022-01-26,1665.68,1670.21,1653.6,1658.94,2861185
2022-01-27,1685.21,1689.9,1670.37,1679.34,4781378
2022-01-28,1662.85,1677.11,1656.34,1664.87,1630626
2022-01-31,1647.11,1655.52,1630.47,1645.49,1891686
2022-02-01,1652.55,1660.67,1649.95,1657.7,4068443
2022-02-02,1709.2,1727.47,1700.67,1716.4,357921
2022-02-03,1693.15,1710.64,1678.26,1698.84,3789033
2022-02-04,1706.5,1717.48,1701.04,1712.55,1107639
2022-02-07,1752.03,1763.04,1720.36,1736.24,3067154
2022-02-08,1776.91,1781.32,1770.07,1776.36,271980
2022-02-09,1818.71,1849.72,1804.5,1822.08,2610254
2022-02-10,1880.83,1897.45,1855.88,1872.41,4825866
2022-02-11,1831.12,1835.31,1823.01,1828.7,4007466
2022-02-14,1817.89,1819.58,1813.12,1816.33,1894497
2022-02-15,1816.34,1819.67,1808.91,1813.03,4160075
2022-02-16,1793.78,1828.06,1775.46,1803.82,2303291
2022-02-17,1776.76,1801.27,1766.64,1787.25,1575666
2022-02-18,1785.22,1804.81,1771.7,1790.2,3877193
2022-02-21,1760.23,1772.28,1746.58,1760.43,841906
2022-02-22,1753.89,1762.31,1737.16,1745.45,2005145
