datetime,Open,High,Low,Close,Volume
2022-01-03,1450.99,1463.4,1427.63,1446.41,3553552
2022-01-04,1472.66,1479.28,1455.05,1466.04,1311243
2022-01-05,1478.6,1489.01,1460.86,1474.35,504305
2022-01-06,1519.71,1524.79,1507.25,1515.58,464815
2022-01-07,1488.11,1503.91,1466.27,1490.76,2466475
2022-01-10,1481.72,1500.66,1468.18,1488.05,4160262
2022-01-11,1489.27,1502.9,1473.78,1487.52,110011
2022-01-12,1463.12,1480.48,1444.98,1465.2,3083440
2022-01-13,1475.6,1478.87,1467.49,1471.09,3645116
2022-01-14,1489.45,1493.43,1486.57,1489.51,4254192
2022-01-17,1528.77,1544.74,1513.16,1531.03,3730190
2022-01-18,1536.38,1568.99,1527.31,1548.19,497398
2022-01-19,1525.69,1538.84,1520.24,1530.39,3320780
2022-01-20,1553.6,1567.33,1539.17,1556.95,402174
2022-01-21,1590.27,1601.16,1571.41,1588.54,4599867
2022-01-24,1585.11,1598.55,1575.91,1584.0,936953
2022-01-25,1594.0,1621.94,1583.88,1610.16,502140
2022-01-26,1587.35,1594.99,1563.53,1579.77,2728882
2022-01-27,1530.75,1553.83,1520.85,1540.61,2591970
2022-01-28,1559.74,1563.31,1555.02,1558.18,3800391
2022-01-31,1657.49,1673.26,1648.13,1662.27,4945141
2022-02-01,1689.89,1693.71,1680.0,1685.81,3700704
2022-02-02,1666.96,1677.51,1644.96,1661.65,1976574
2022-02-03,1654.49,1666.78,1644.94,1656.56,2975928
2022-02-04,1670.42,1682.6,1651.72,1668.02,3729654
2022-02-07,1704.11,1713.96,1686.71,1696.64,4829632
2022-02-08,1704.66,1729.78,1694.28,1713.2,1159351
2022-02-09,1694.66,1716.84,1684.79,1700.51,3467708
2022-02-10,1701.97,1707.73,1693.37,1700.9,3325734
2022-02-11,1674.16,1678.08,1668.76,1672.17,1925046
2022-02-14,1639.36,1671.63,1627.68,1650.09,1082899
2022-02-15,1670.57,1679.51,1664.81,1672.55,1575717
2022-02-16,1692.42,1721.91,1675.15,1698.54,855316
2022-02-17,1682.42,1688.63,1673.66,1679.86,2723470
2022-02-18,1686.8,1704.64,1676.36,1694.04,934968
2022-02-21,1738.55,1746.62,1733.46,1741.96,1490295
2022-02-22,1717.28,1728.56,1714.21,1722.77,689657
2022-02-23,1749.66,1764.88,1740.92,1749.63,2333838
2022-02-24,1763.5,1781.23,1743.53,1759.9,2528079
2022-02-25,1778.36,1786.04,1760.96,1772.45,4466466
2022-02-28,1735.48,1749.62,1728.05,1741.17,3226361
2022-03-01,1778.99,1790.96,1772.59,1777.73,2779206
2022-03-02,1762.92,1782.3,1749.35,1768.87,2826492
2022-03-03,1752.14,1771.31,1734.64,1751.2,4456269
2022-03-04,1753.99,1766.69,1747.61,1756.36,239090
2022-03-07,1819.3,1825.01,1799.64,1816.6,1019413
2022-03-08,1791.34,1827.32,1780.36,1803.12,4474219
2022-03-09,1794.27,1825.79,1785.29,1809.64,3240605
2022-03-10,1799.92,1802.8,1792.63,1798.79,2004582
2022-03-11,1799.71,1816.36,1786.65,1802.12,3443585
2022-03-14,1798.98,1823.86,1771.72,1797.87,2157024
2022-03-15,1805.87,1833.46,1785.18,1811.67,584358
2022-03-16,1828.61,1859.48,1812.02,1841.09,4424765
2022-03-17,1828.53,1846.74,1820.43,1833.04,4213501
2022-03-18,1789.72,1811.09,1772.75,1793.74,3031377
2022-03-21,1803.24,1809.58,1786.06,1794.57,3265785
2022-03-22,1780.19,1817.94,1768.56,1791.35,3137993
2022-03-23,1786.15,1789.52,1781.16,1784.93,3001354
2022-03-24,1848.24,1866.32,1834.7,1850.07,4034823
2022-03-25,1911.0,1921.53,1899.58,1909.69,4493694
2022-03-28,1903.82,1925.01,1897.93,1912.75,4514913
2022-03-29,1963.04,1968.56,1941.52,1952.79,3018541
2022-03-30,1945.85,1962.74,1913.26,1928.52,2699076
2022-03-31,1910.57,1920.49,1905.98,1915.75,1235004
2022-04-01,1988.44,2000.02,1952.71,1970.86,2920733
2022-04-04,1984.08,1992.64,1973.55,1983.55,2732981
2022-04-05,1987.82,1993.38,1971.63,1984.47,2330714
2022-04-06,1976.82,1987.8,1961.6,1972.47,2428536
2022-04-07,1977.4,1987.24,1968.21,1980.23,3068050
2022-04-08,1966.24,1973.52,1952.81,1965.67,2438453
2022-04-11,1895.43,1916.99,1883.49,1905.37,3670317
2022-04-12,1839.3,1851.56,1836.23,1844.56,1388320
2022-04-13,1833.34,1844.31,1821.27,1832.32,4764696
2022-04-14,1857.63,1881.89,1846.46,1866.96,2269074
2022-04-15,1857.63,1875.15,1843.08,1859.0,2874414
2022-04-18,1850.65,1871.55,1843.92,1858.39,1220595
2022-04-19,1876.29,1883.1,1851.09,1868.38,4040019
2022-04-20,1868.12,1885.24,1856.88,1867.51,359399
2022-04-21,1821.39,1827.07,1806.86,1819.62,2096511
2022-04-22,1785.73,1800.64,1762.53,1780.37,2428101
2022-04-25,1754.81,1765.44,1734.18,1749.17,4461044
2022-04-26,1727.3,1740.31,1718.88,1729.21,286930
2022-04-27,1726.4,1739.7,1715.72,1723.76,3257155
2022-04-28,1762.68,1771.69,1742.86,1752.69,2464739
2022-04-29,1682.39,1703.87,1673.2,1687.29,2486168
2022-05-02,1685.64,1690.7,1681.2,1685.84,867296
2022-05-03,1613.02,1620.28,1592.74,1609.97,385166
2022-05-04,1643.05,1674.82,1627.68,1650.97,1047356
2022-05-05,1645.81,1655.55,1632.84,1640.92,1578381
2022-05-06,1644.51,1652.39,1632.6,1640.81,2338173
2022-05-09,1617.74,1639.27,1593.67,1615.24,4592686
2022-05-10,1639.73,1672.38,1625.03,1645.3,3531612
2022-05-11,1611.82,1613.75,1605.04,1607.93,1383527
2022-05-12,1580.68,1614.17,1569.19,1592.65,2861372
2022-05-13,1575.48,1587.69,1565.79,1581.08,1986217
2022-05-16,1617.74,1629.16,1607.97,1616.27,1207192
2022-05-17,1556.81,1585.97,1538.61,1558.59,3847377
2022-05-18,1558.35,1572.81,1538.94,1552.42,1131466
2022-05-19,1588.52,1594.83,1577.14,1585.22,1005916
2022-05-20,1572.09,1578.06,1568.83,1574.95,3171344
2022-05-23,1565.12,1595.92,1556.97,1580.3,3598067
2022-05-24,1576.89,1580.28,1564.6,1575.38,1709186
2022-05-25,1536.61,1544.71,1529.34,1537.14,1316106
2022-05-26,1502.06,1517.45,1490.03,1507.53,3358352
2022-05-27,1491.97,1500.21,1485.25,1492.16,3419132
2022-05-30,1479.57,1491.67,1465.24,1479.24,4360526
