datetime,Open,High,Low,Close,Volume
2022-01-03,18191.34,18238.54,18158.67,18191.83,212566
2022-01-04,18078.88,18157.61,18005.87,18092.07,1532769
2022-01-05,18258.51,18349.7,17977.78,18210.53,1683728
2022-01-06,17453.73,17610.77,17393.48,17542.42,1998734
2022-01-07,18184.96,18266.46,17861.01,18047.63,4749432
2022-01-10,18185.27,18239.24,18001.71,18083.67,4695599
2022-01-11,18514.02,18563.93,18340.94,18444.89,2225403
2022-01-12,18526.09,18654.23,18237.92,18447.89,635066
2022-01-13,18873.23,18921.81,18746.82,18842.49,1838729
2022-01-14,19063.31,19128.3,18989.64,19037.14,3408502
2022-01-17,18758.76,18837.5,18707.13,18767.75,1640274
2022-01-18,18522.93,18581.83,18337.18,18463.57,4227172
2022-01-19,18338.39,18697.14,18217.32,18446.97,2420102
2022-01-20,18114.14,18202.23,17950.28,18027.9,3745750
2022-01-21,17969.37,18065.31,17922.59,17995.14,2227524
2022-01-24,17983.8,18320.87,17860.18,18052.12,2527316
2022-01-25,17576.92,17785.54,17467.17,17611.62,4958969
2022-01-26,18276.4,18324.02,18218.0,18266.12,1226514
2022-01-27,17723.7,17852.52,17448.5,17598.83,4845759
2022-01-28,17283.66,17420.46,17242.56,17320.55,1297308
2022-01-31,17447.96,17527.56,17386.83,17444.49,4302971
2022-02-01,17633.1,17666.6,17527.78,17602.42,2095553
2022-02-02,17626.65,17983.22,17407.92,17746.56,1197625
2022-02-03,17567.16,17691.66,17483.86,17583.05,3222703
2022-02-04,17660.76,17756.27,17619.66,17706.69,4376205
2022-02-07,16959.46,17047.72,16855.52,16959.26,254265
2022-02-08,17061.56,17291.63,16985.56,17156.75,1116470
2022-02-09,17706.99,17823.05,17621.75,17725.1,3152367
2022-02-10,17953.04,18103.53,17801.05,17894.34,3677476
2022-02-11,18059.7,18139.46,18008.22,18063.64,1201846
2022-02-14,18106.2,18450.43,17977.5,18202.11,1163893
2022-02-15,17758.57,17863.62,17607.71,17730.98,2523268
2022-02-16,17878.01,17990.77,17779.22,17850.49,974411
2022-02-17,17769.7,17835.2,17749.12,17794.12,2244617
2022-02-18,17693.36,17853.06,17574.84,17734.57,4704632
2022-02-21,17273.81,17359.26,17228.59,17272.92,4734412
2022-02-22,17501.88,17715.4,17430.33,17569.54,1364235
2022-02-23,17458.42,17505.0,17293.81,17397.17,2335381
2022-02-24,17065.3,17191.69,17030.33,17132.08,1015466
2022-02-25,17098.81,17178.73,16977.24,17062.16,3369570
2022-02-28,16924.15,16971.99,16783.1,16881.74,2551158
2022-03-01,17027.55,17182.31,16951.83,17074.17,1296028
2022-03-02,17347.78,17407.45,17249.59,17317.75,3447330
2022-03-03,17335.43,17528.49,17185.31,17399.76,4712080
2022-03-04,17244.66,17583.1,17123.28,17359.4,541820
2022-03-07,17067.41,17161.35,16762.33,16987.22,3802806
2022-03-08,17070.96,17217.54,16957.05,17102.33,890364
2022-03-09,17309.06,17582.24,17182.82,17355.58,1400297
2022-03-10,17128.67,17284.77,16824.06,17132.82,451977
2022-03-11,16908.24,17027.92,16745.32,16877.44,3973596
2022-03-14,16750.01,16827.91,16670.62,16776.76,686553
2022-03-15,17009.63,17056.67,16941.71,16994.63,3054120
2022-03-16,16743.44,16768.95,16666.97,16735.83,3022372
2022-03-17,16515.31,16784.17,16377.92,16590.38,1216022
2022-03-18,16031.12,16278.86,15964.04,16104.36,441907
2022-03-21,15931.09,16010.17,15881.63,15955.88,3357497
2022-03-22,15896.13,16018.14,15653.64,15761.76,3618115
2022-03-23,15734.69,15782.62,15635.01,15715.8,2048826
2022-03-24,16045.37,16107.59,15897.2,15965.04,1058822
2022-03-25,16165.12,16315.46,15703.64,16019.65,4436825
2022-03-28,15490.13,15571.94,15182.55,15349.47,4239392
2022-03-29,14834.28,14914.93,14750.38,14830.04,3640189
2022-03-30,14794.49,15002.62,14654.98,14784.88,984474
2022-03-31,14976.54,15151.38,14783.14,14923.92,3005388
2022-04-01,14989.37,15087.45,14964.63,15029.69,3127325
2022-04-04,15026.14,15072.07,14855.42,14944.31,4193125
2022-04-05,14801.92,14864.17,14756.84,14820.95,2540974
2022-04-06,14832.35,14940.74,14632.78,14727.26,2045405
2022-04-07,15292.29,15351.3,15137.75,15274.83,1134336
2022-04-08,14979.73,15030.32,14890.01,14961.28,4022510
2022-04-11,15041.27,15091.19,14960.6,15048.12,827408
2022-04-12,14987.35,15101.42,14906.24,15004.32,837444
2022-04-13,15415.0,15471.73,15227.1,15363.72,3719126
2022-04-14,15848.35,15894.64,15798.73,15862.01,1466050
2022-04-15,15584.25,15809.37,15344.27,15594.28,1905443
2022-04-18,15630.46,15651.03,15560.93,15616.94,4468106
2022-04-19,16047.56,16150.13,15934.47,16032.44,533538
2022-04-20,15776.21,15957.16,15541.46,15688.2,4070953
2022-04-21,15433.17,15537.34,15236.47,15381.0,3724295
2022-04-22,15766.81,15848.94,15629.57,15737.77,3615194
2022-04-25,15569.49,15700.37,15522.57,15637.9,4659911
2022-04-26,15714.64,16132.81,15573.74,15872.07,1370977
2022-04-27,15804.09,16002.53,15598.47,15767.46,4932773
2022-04-28,16101.08,16205.51,15805.73,15948.33,227391
2022-04-29,16096.86,16253.29,15781.83,16005.63,2638796
2022-05-02,16455.6,16571.77,16221.13,16443.05,3024680
2022-05-03,16034.93,16341.28,15846.7,16056.62,2037108
2022-05-04,15864.19,16163.06,15751.39,15924.94,1101812
2022-05-05,15834.18,15914.91,15756.39,15820.16,744497
2022-05-06,16191.56,16227.93,16104.71,16165.28,4826731
2022-05-09,16536.21,16670.75,16272.33,16488.62,688851
2022-05-10,16155.71,16286.12,16064.45,16187.06,790259
2022-05-11,16026.49,16148.0,15987.09,16080.58,4952129
2022-05-12,15870.22,16066.27,15809.06,15947.4,3336983
2022-05-13,16213.07,16264.11,16048.26,16152.22,1688002
2022-05-16,16118.92,16281.2,16064.72,16221.22,2998120
