datetime,Open,High,Low,Close,Volume
2022-01-03,3399.12,3406.98,3386.68,3397.73,2179408
2022-01-04,3408.83,3433.17,3399.46,3420.59,370865
2022-01-05,3414.32,3475.33,3388.8,3422.39,3861345
2022-01-06,3368.76,3382.27,3318.32,3360.05,596747
2022-01-07,3383.52,3430.47,3363.73,3396.97,1574679
2022-01-10,3346.49,3374.51,3334.14,3351.84,4793391
2022-01-11,3391.59,3410.75,3371.14,3388.29,610237
2022-01-12,3373.3,3412.07,3352.85,3376.25,4586269
2022-01-13,3374.34,3392.6,3362.52,3380.88,3622069
2022-01-14,3348.37,3371.39,3327.99,3352.89,451933
2022-01-17,3325.92,3334.77,3313.12,3323.18,1925873
2022-01-18,3261.62,3276.81,3242.94,3258.26,3226809
2022-01-19,3337.41,3352.3,3324.3,3344.24,3118554
2022-01-20,3294.57,3322.43,3264.79,3283.02,1220649
2022-01-21,3212.76,3250.45,3196.45,3226.43,4723527
2022-01-24,3271.98,3315.27,3230.57,3256.17,4957409
2022-01-25,3200.68,3223.57,3193.45,3207.56,2812216
2022-01-26,3249.34,3281.41,3237.0,3259.23,3824851
2022-01-27,3229.04,3267.33,3205.43,3239.03,4233484
2022-01-28,3303.76,3309.67,3287.57,3299.32,4900732
2022-01-31,3290.69,3301.21,3269.0,3282.0,419700
2022-02-01,3222.37,3244.96,3209.53,3228.67,2639776
2022-02-02,3287.83,3326.97,3247.74,3277.62,4296565
2022-02-03,3426.1,3460.83,3381.47,3409.61,2795196
2022-02-04,3417.51,3437.5,3370.63,3398.42,2092675
2022-02-07,3366.48,3394.14,3355.08,3371.62,4739928
2022-02-08,3467.45,3531.2,3450.62,3482.1,512173
2022-02-09,3583.71,3596.86,3534.0,3561.8,3241299
2022-02-10,3405.65,3479.28,3385.3,3432.39,2176238
2022-02-11,3349.03,3378.74,3329.41,3352.44,4067670
2022-02-14,3294.23,3328.92,3242.23,3301.55,2735890
2022-02-15,3287.08,3318.34,3266.54,3299.63,514301
2022-02-16,3363.34,3396.6,3338.04,3364.7,1647596
2022-02-17,3429.21,3464.65,3391.96,3428.59,1401965
2022-02-18,3346.65,3381.49,3283.68,3334.62,836953
2022-02-21,3384.74,3436.56,3365.54,3403.01,4145570
2022-02-22,3350.05,3379.73,3288.76,3327.4,1858025
2022-02-23,3272.44,3321.44,3234.79,3277.76,1438306
2022-02-24,3295.71,3343.06,3280.02,3317.4,3583535
2022-02-25,3254.65,3264.16,3246.88,3257.76,2726525
2022-02-28,3242.58,3259.84,3179.98,3204.23,3228253
2022-03-01,3162.12,3172.41,3157.11,3167.51,1829559
2022-03-02,3219.02,3237.8,3212.51,3222.45,2773289
2022-03-03,3178.33,3196.35,3164.48,3176.86,4320592
2022-03-04,3270.68,3282.52,3243.53,3270.45,1541363
2022-03-07,3250.32,3281.35,3238.78,3260.54,1728032
2022-03-08,3245.41,3255.75,3232.93,3246.16,1543632
2022-03-09,3246.76,3253.81,3237.67,3248.37,3233808
2022-03-10,3101.32,3177.34,3079.37,3128.25,1208192
2022-03-11,3151.15,3160.32,3122.98,3141.3,3042147
2022-03-14,3147.26,3157.48,3120.87,3132.28,1364847
2022-03-15,3223.9,3255.53,3191.36,3225.6,865363
2022-03-16,3176.84,3207.98,3137.12,3170.58,896810
2022-03-17,3153.01,3168.21,3137.16,3150.38,1706558
2022-03-18,3194.69,3213.45,3158.53,3178.61,854754
2022-03-21,3030.4,3080.55,2989.45,3043.04,209301
